title,journal,pubDate
ResGNet-C: A graph convolutional neural network for detection of COVID-19,Neurocomputing,2020-12-30
Immediate and long‐term impact of the ‐19 pandemic on delivery of surgical services,The British Journal of Surgery,2020-04-30
Balancing Choices to Recover From the COVID-19 Pandemic,Neurospine,2020-05-18
Regulation of RLR-Mediated Antiviral Responses of Human Dendritic Cells by mTOR,Frontiers in Immunology,2020-09-11
Glass Fragment Injury to the Craniocervical Junction with Interatlantooccipital Penetration to the Subarachnoid Space: Not-To-Be-Missed Important Aspects of Craniocervical Trauma Even in the Middle of the COVID-19 Pandemic: Case Report and Review of Literature,World Neurosurgery,2020-06-16
SARS-CoV-2 Infects the Brain Choroid Plexus and Disrupts the Blood-CSF Barrier in Human Brain Organoids,Cell Stem Cell,2020-10-13
Eleven faces of coronavirus disease 2019,Allergy,2020-04-06
Jason Wong new Deputy Chief Dental Officer,Bdj in Practice,2020-07-06
"Long-Term Non-invasive Ventilation in Children: Current Use, Indications, and Contraindications",Frontiers in Pediatrics,2020-11-05
Role of Personal Protective Measures in Prevention of COVID-19 Spread Among Physicians in Bangladesh: a Multicenter Cross-Sectional Comparative Study,Sn Comprehensive Clinical Medicine,2020-08-28
"Newly Identified Function of Caspase-6 in ZBP1-mediated Innate Immune Responses, NLRP3 Inflammasome Activation, PANoptosis, and Host Defense",Journal of cellular immunology,
Covid-19 uncovers a new challenge for designers,Journal of Intellectual Property Law & Practice,2020-11-11
COVID-19: it is time to balance infection management and person-centered care to maintain mental health of people living in German nursing homes,International Psychogeriatrics,2020-05-12
Keeping a tenuous grasp on HIV gains,The Lancet. HIV,2020-08-04
Autophagy in T cells from aged donors is maintained by spermidine and correlates with function and vaccine responses,eLife,2020-12-15
"COVID-19 Pandemic and Upcoming Influenza Season—Does an Expert’s Computed Tomography Assessment Differentially Identify COVID-19, Influenza and Pneumonias of Other Origin?",Journal of Clinical Medicine,2020-12-28
Differences in midgut transcriptomes between resistant and susceptible strains of  to Cry1C toxin,BMC Genomics,2020-09-14
Sleep-HD trial: short and long-term effectiveness of existing insomnia therapies for patients undergoing hemodialysis,BMC Nephrology,2020-10-20
Antigenic drift of hemagglutinin and neuraminidase in seasonal H1N1 influenza viruses from Saudi Arabia in 2014 to 2015,Journal of Medical Virology,2020-04-01
Increased Mortality and Major Complications in Hip Fracture Care During the COVID-19 Pandemic: A New York City Perspective,Journal of Orthopaedic Trauma,2020-05-27
Protecting the psychological health of children through effective communication about COVID-19,The Lancet. Child & Adolescent Health,2020-03-31
Immune Checkpoints in Viral Infections,Viruses,2020-09-21
Medusavirus Ancestor in a Proto-Eukaryotic Cell: Updating the Hypothesis for the Viral Origin of the Nucleus,Frontiers in Microbiology,2020-09-03
Clinical status determines the efficacy of salivary and nasopharyngeal samples for detection of SARS-CoV-2,Clinical Oral Investigations,2020-10-12
Elective surgery cancellations due to the ‐19 pandemic: global predictive modelling to inform surgical recovery plans,The British Journal of Surgery,2020-05-12
A prospective clinical study of an Ayurveda regimen in COVID 19 patients,Journal of Ayurveda and Integrative Medicine,2020-10-19
Disaster psychiatry and homelessness: creating a mental health COVID-19 response,The Lancet. Psychiatry,2020-08-04
Copper against Covid,"Materials Today (Kidlington, England)",2020-10-11
Fungal Planet description sheets: 1042–1111,Persoonia : Molecular Phylogeny and Evolution of Fungi,2020-06-29
Malaria vector control in sub-Saharan Africa in the time of COVID-19: no room for complacency,BMJ Global Health,2020-09-16
Role of Helmet-Delivered Noninvasive Pressure Support Ventilation in COVID-19 Patients,Journal of Cardiothoracic and Vascular Anesthesia,2020-05-08
Forty years with coronaviruses,The Journal of Experimental Medicine,2020-03-30
"Covid-Quantigene®, sur la piste du Sars-CoV-2",Revue Francophone Des Laboratoires,2020-10-31
Die digitale Transformation der Medizin,Forum,2020-07-03
"Lifestyle, behavior, perception and practices of Nepalese during lockdown due to COVID-19 pandemic",JNMA: Journal of the Nepal Medical Association,2020-09-30
Letter to the Editor in response to the article: “Increase in the risk of type 2 diabetes during lockdown for the COVID19 pandemic in India: A cohort analysis” (Ghoshal et al.),Diabetes & Metabolic Syndrome,2020-07-12
Three-dimensional (3D) lung segmentation for diagnosis of COVID-19 and the communication of disease impact to the public,BMJ Case Reports,2020-08-18
Prognostic Impact of Prior Heart Failure in Patients Hospitalized With COVID-19,Journal of the American College of Cardiology,2020-10-28
Autoimmunity complicating SARS-CoV-2 infection in selective IgA-deficiency,Neurology® Neuroimmunology & Neuroinflammation,2020-08-12
Techniques assisting peptide vaccine and peptidomimetic design. Sidechain exposure in the SARS-CoV-2 spike glycoprotein,Computers in Biology and Medicine,2020-11-21
Meteorological conditions and nonpharmaceutical interventions jointly determined local transmissibility of COVID-19 in 41 Chinese cities: A retrospective observational study,The Lancet Regional Health - Western Pacific,2020-09-06
The pressing questions in multiple sclerosis Care in the era of COVID-19,Journal of the Neurological Sciences,2020-06-23
Guidelines for Dialysis with Reference to COVID-19,Indian Journal of Nephrology,2020-05-21
"Cardiovascular Pathophysiology, Epidemiology, and Treatment Considerations of Coronavirus Disease 2019 (COVID-19): A Review",CJC Open,2020-09-05
Seite eins,Pädiatrie,2020-08-19
SARS‐CoV‐2 infection anxieties and general population restrictions delay diagnosis and treatment of acute haematological malignancies,British Journal of Haematology,2020-05-25
Caring for the self and others: a reflection on everyday commoning amid the COVID-19 pandemic,Socio-Ecological Practice Research,2020-08-24
"Smile Society: A year of student-led outreach, collaboration and adaptation",British Dental Journal,2020-09-25
openEHR Archetype Use and Reuse Within Multilingual Clinical Data Sets: Case Study,Journal of Medical Internet Research,2020-11-02
Information in Spanish on the Internet about the Prevention of COVID-19,International Journal of Environmental Research and Public Health,2020-11-07
COVID-19 y tromboprofilaxis: recomendaciones para nuestra práctica clínica en Atención Primaria,Semergen,2020-09-18
Probiotics: Versatile Bioactive Components in Promoting Human Health,Medicina,2020-08-27
Baricitinib as treatment for COVID-19: friend or foe of thepancreas?,Clinical Infectious Diseases: An Official Publication of the Infectious Diseases Society of America,2020-08-14
Tacrolimus: COVID-19 infection: case report,Reactions Weekly,2020-12-19
The COVID-19 outbreak and the angiotensin-converting enzyme 2: too little or too much?,Nephrology Dialysis Transplantation,2020-05-01
Knowledge and Information Sources About COVID-19 Among University Students in Jordan: A Cross-Sectional Study,Frontiers in Public Health,2020-05-29
COVID-19 pandemic: a sentiment analysis,European Heart Journal,2020-07-17
Can the detection dog alert on COVID-19 positive persons by sniffing axillary sweat samples? A proof-of-concept study,PLoS ONE,2020-12-10
Transferrin receptor 1 levels at the cell surface influence the susceptibility of newborn piglets to PEDV infection,PLoS Pathogens,2020-07-30
Contact lens wear during the COVID-19 pandemic,Contact Lens & Anterior Eye,2020-04-22
Comparison of clinical characteristics of coronavirus disease (COVID-19) and severe acute respiratory syndrome (SARS) as experienced in Taiwan,Travel Medicine and Infectious Disease,2020-03-14
SARS-CoV-2 genomic variations associated with mortality rate of COVID-19,Journal of Human Genetics,2020-07-22
Erratum to: COVID-19 epidemic: disentangling the re-emerging controversy about medical facemasks from an epidemiological perspective,International Journal of Epidemiology,2020-11-04
Estimating the Fiscal Consequences of National Immunization Programs Using a “Government Perspective” Public Economic Framework,Vaccines,2020-09-02
Pulmonary fibrosis in critically ill patients with novel coronavirus pneumonia during the convalescent stage and a proposal for early intervention,Acta Pharmacologica Sinica,2020-11-13
Abiotic and Biotic Determinants of Plant Diversity in Aquatic Communities Invaded by Water Hyacinth [ (Mart.) Solms],Frontiers in Plant Science,2020-08-25
Amenity Migration and Public Lands: Rise of the Protected Areas,Environmental Management,2020-04-27
Digital Citizenship During a Global Pandemic: Moving Beyond Digital Literacy,Journal of Adolescent & Adult Literacy,2020-07-17
Out-of-Hospital Cardiac Arrest during the COVID-19 pandemic in Portugal,Resuscitation,2020-10-15
Digital Health in Cardiac Rehabilitation and Secondary Prevention: A Search for the Ideal Tool,"Sensors (Basel, Switzerland)",2020-12-22
"The prevalence of symptoms in 24,410 adults infected by the novel coronavirus (SARS-CoV-2; COVID-19): A systematic review and meta-analysis of 148 studies from 9 countries",PLoS ONE,2020-06-23
Hand hygiene compliance in Dutch general practice offices,Archives of Public Health,2020-09-12
The use of tear ferning test in cats for evaluation of ocular surface,Acta Veterinaria Scandinavica,2020-05-26
Psychosocial factors associated with symptoms of generalized anxiety disorder in general practitioners during the COVID-19 pandemic,Journal of Investigative Medicine,2020-08-03
Guidelines: Anaesthesia in the context of COVID-19 pandemic,"Anaesthesia, Critical Care & Pain Medicine",2020-06-05
A conceptual framework to untangle the concept of urban ecosystem services,Landscape and Urban Planning,2020-04-27
Recovering From Coronavirus Disease 2019 (COVID-19): Resisting Ageism and Recommitting to a Productive Aging Perspective,The Public Policy and Aging Report,2020-08-26
Telemedicine and technological devices for amyotrophic lateral sclerosis in the era of COVID-19,Neurological Sciences,2020-05-21
Post-containment management of nursing homes: a new public health concern,European Geriatric Medicine,2020-05-13
Collective aeromedical transport of COVID-19 critically ill patients in Europe: A retrospective study,"Anaesthesia, Critical Care & Pain Medicine",2020-11-21
Immediate impact of the COVID-19 pandemic on CTSA TL1 and KL2 training and career development,Journal of Clinical and Translational Science,2020-06-29
"New approximations, and policy implications, from a delayed dynamic model of a fast pandemic",Physica D. Nonlinear Phenomena,2020-08-25
Clinical presentation at the onset of COVID-19 and allergic rhinoconjunctivitis,The Journal of Allergy and Clinical Immunology. in Practice,2020-08-18
Immune checkpoint inhibitors in SARS-CoV-2 infected cancer patients: the spark that ignites the fire?,"Lung Cancer (Amsterdam, Netherlands)",2020-05-11
Psychological stress responses to COVID-19 and adaptive strategies in China,World Development,2020-07-24
High Respiratory Drive and Excessive Respiratory Efforts Predict Relapse of Respiratory Failure in Critically Ill Patients with COVID-19,American Journal of Respiratory and Critical Care Medicine,2020-10-15
Computational identification of disulfiram and neratinib as putative SARS-CoV-2 main protease inhibitors,Mendeleev Communications,2020-08-04
Allergy and asthma in children and adolescents during the COVID outbreak: What we know and how we could prevent allergy and asthma flares,Allergy,2020-05-28
Spontaneous Bleedings in COVID-19 Patients: An Emerging Complication,Cardiovascular and Interventional Radiology,2020-05-17
"Women’s and men’s work, housework and childcare, before and during COVID-19",Review of Economics of the Household,2020-09-06
Protective Strategies in a Simulated Model When Performing Percutaneous Tracheostomies in the COVID-19 Era,Annals of the American Thoracic Society,2020-11-01
Human Touch via Touchscreen: Rural Nurses' Experiential Perspectives on Telehealth Use in Pediatric Hospice Care,Journal of Pain and Symptom Management,2020-06-07
Offline: How to defeat political populism,"Lancet (London, England)",2020-02-13
Potentially modifiable factors to reduce severity of COVID-19 in type 2 diabetes,Nutrition & Diabetes,2020-08-12
Longitudinal hematologic and immunologic variations associated with the progression of COVID-19 patients in China,The Journal of Allergy and Clinical Immunology,2020-05-11
"Enhancing Local Disaster Management Network through Developing Resilient Community in New Taipei City, Taiwan",International Journal of Environmental Research and Public Health,2020-07-24
1572P Psychological impact of the COVID-19 pandemic on health care workers in oncology in Tunisia,Annals of Oncology,2020-09-22
341 Changes in Atypical Discharges before and during the COVID-19 Pandemic,Annals of Emergency Medicine,2020-10-29
Face masks in radiation oncology clinics: based on evidence or source of mistakes?,"Medical Oncology (Northwood, London, England)",2020-08-01
"Application of System Biology to Explore the Association of Neprilysin, Angiotensin-Converting Enzyme 2 (ACE2), and Carbonic Anhydrase (CA) in Pathogenesis of SARS-CoV-2",Biological Procedures Online,2020-06-19
"COVID-19 Trends Among School-Aged Children — United States, March 1–September 19, 2020",Morbidity and Mortality Weekly Report,2020-10-02
Considerations for povidone-iodine antisepsis in pediatric nasal and pharyngeal surgery during the COVID-19 pandemic,American Journal of Otolaryngology,2020-09-19
Guidance for building a dedicated health facility to contain the spread of the 2019 novel coronavirus outbreak,The Indian Journal of Medical Research,2020-04-28
"A pilot volunteer reader programme decreases delirium days in critically ill, adult ICU patients",BMJ Open Quality,2020-07-20
Nasal Microbiota in RSV Bronchiolitis,Microorganisms,2020-05-13
Identification of human adenovirus replication inhibitors from a library of small molecules targeting cellular epigenetic regulators,Virology,2020-07-26
Influence of Players’ Maximum Running Speed on the Team’s Ranking Position at the End of the Spanish,International Journal of Environmental Research and Public Health,2020-11-27
"Efficacy of chloroquine versus lopinavir/ritonavir in mild/general COVID-19 infection: a prospective, open-label, multicenter, randomized controlled clinical study",Trials,2020-07-08
Using statistics and mathematical modelling to understand infectious disease outbreaks: COVID-19 as an example,Infectious Disease Modelling,2020-07-04
1606P Developing a readiness assessment framework for radioligand therapy,Annals of Oncology,2020-09-22
Effect of Active Video Games on Healthy Children’s Fundamental Motor Skills and Physical Fitness: A Systematic Review,International Journal of Environmental Research and Public Health,2020-11-09
"Actual Causes of Death in Relation to Media, Policy, and Funding Attention: Examining Public Health Priorities",Frontiers in Public Health,2020-07-07
Ludwig's angina,British Dental Journal,2020-09-11
The impact of the COVID-19 pandemic on patients awaiting spinal cord stimulation surgery in the United Kingdom: a multi-centre patient survey,British Journal of Pain,2020-08-21
Neuroinvasive potential of a primary respiratory pathogen SARS- CoV2: Summarizing the evidences,Diabetes & Metabolic Syndrome,2020-07-02
"Commentary: Comment on “Early Outpatient Treatment of Symptomatic, High-Risk Covid-19 Patients that Should be Ramped-Up Immediately as Key to the Pandemic Crisis”",American Journal of Epidemiology,2020-07-20
Norepinephrine/oseltamivir: Lack of efficacy and invasive pulmonary aspergillosis secondary to off-label use: case report,Reactions Weekly,2020-08-29
Lung Ultrasound in COVID-19,Indian Pediatrics,2020-07-24
Associates; Can your finances be better prepared for the future?,Bdj in Practice,2020-09-07
Detection of Severe Acute Respiratory Syndrome Coronavirus 2 RNA in Blood Donations,Journal of Laboratory Physicians,2020-09-02
Impact of COVID-19 on Peripheral Arterial Disease Treatment,Annals of Vascular Surgery,2020-06-02
Emergency retinal detachment surgery during Covid-19 pandemic: a national survey and local review,Eye,2020-09-22
Philippine crimes of dissent: Free speech in the time of COVID-19,"Crime, Media, Culture",2020-07-30
IR is an Operational and Financial Hedge for Hospitals during COVID-19,Journal of Vascular and Interventional Radiology,2020-07-23
CRISPR/Cas9: A powerful genome editing technique for the treatment of cancer cells with present challenges and future directions,Life Sciences,2020-10-05
Pivoting Research to ‐19,Annals of Neurology,2020-06-07
Video for Active and Remote Learning,Trends in Chemistry,2020-04-16
"Positive association of angiotensin II receptor blockers, not angiotensin-converting enzyme inhibitors, with an increased vulnerability to SARS-CoV-2 infection in patients hospitalized for suspected COVID-19 pneumonia",PLoS ONE,2020-12-21
Perceived Risk and Protection From Infection and Depressive Symptoms Among Healthcare Workers in Mainland China and Hong Kong During COVID-19,Frontiers in Psychiatry,2020-07-15
Psychological Distress After Covid-19 Recovery: Reciprocal Effects With Temperament and Emotional Dysregulation. An Exploratory Study of Patients Over 60 Years of Age Assessed in a Post-acute Care Service,Frontiers in Psychiatry,2020-11-12
"Awareness, Risk Perception, and Stress during the COVID-19 Pandemic in Communities of Tamil Nadu, India",International Journal of Environmental Research and Public Health,2020-09-30
Evaluation of the Xiamen AmonMed Biotechnology rapid diagnostic test COVID-19 IgM/IgG test kit (Colloidal gold),European Journal of Microbiology & Immunology,2020-09-25
Radiology–Pathology Correlation Demonstrating Organizing Pneumonia in a Patient Who Recovered from COVID-19,American Journal of Respiratory and Critical Care Medicine,2020-08-15
Immuno-pathogenesis of nCOVID-19 and a possible host-directed therapy including anti-inflammatory and anti-viral prostaglandin (PG J) for effective treatment and reduction in the death toll,Medical Hypotheses,2020-07-08
Age-Related Differences in Immunological Responses to SARS-CoV-2,The Journal of Allergy and Clinical Immunology. in Practice,2020-08-27
"New Drugs Regulatory Program Modernization: Vision, Strategic Objectives, and Impact",Therapeutic Innovation & Regulatory Science,2020-10-26
COVID-19 Symptoms: Longitudinal Evolution and Persistence in Outpatient Settings,Annals of Internal Medicine,2020-12-08
Cross-Sectional Analysis of the Complaints and Emergency Department Attendances During COVID-19 Pandemic,Cureus,2020-12-12
Osmotic Adaptation by Na-Dependent Transporters and ACE2: Correlation with Hemostatic Crisis in COVID-19,Biomedicines,2020-10-30
Cancer Prevales on Covid‐19: To Maintain a High Quality Standard Concerning Diagnosis and Oncological Care Even During a Pandemic,Journal of Medical Virology,2020-06-17
"Epidemiological characteristics and transmissibility of shigellosis in Hubei Province, China, 2005 – 2017",BMC Infectious Diseases,2020-04-07
"Archaeology and contemporary death: Using the past to provoke, challenge and engage",PLoS ONE,2020-12-29
Association between trace levels of lithium in drinking water and COVID‐19‐associated mortality,Bipolar Disorders,2020-09-30
"Media for Coping During COVID-19 Social Distancing: Stress, Anxiety, and Psychological Well-Being",Frontiers in Psychology,2020-12-18
panorama,Procare,2020-05-16
Asthma and COVID-19: In Defense of Evidence-Based SABA,Journal of Asthma and Allergy,2020-10-15
A Simple Bayesian Method for Evaluating Whether Data From Patients With Rheumatic Diseases Who Have Been Under Chronic Hydroxychloroquine Medication Since Before the COVID-19 Outbreak Can Speak to Hydroxychloroquine's Prophylactic Effect Against Infection With SARS-CoV-2,Frontiers in Medicine,2020-08-13
Clinically suspected myocarditis in the course of coronavirus infection,European Heart Journal,2020-04-27
"Differences Between Health Workers and General Population in Risk Perception, Behaviors, and Psychological Distress Related to COVID-19 Spread in Italy",Frontiers in Psychology,2020-09-04
Nur Datensicherung bringt wirklich Sicherheit,Versicherungsmagazin,2020-11-27
Mitteilungen der GI im Informatik Spektrum 3/2020,Informatik Spektrum,2020-05-05
Temporal Changes of CT Findings in 90 Patients with COVID-19 Pneumonia: A Longitudinal Study,Radiology,2020-03-19
Identifying the Real Effects of Zombie Lending,The Review of Corporate Finance Studies,2020-07-07
National response strategies and marketing innovations during the COVID-19 pandemic,Business Horizons,2020-12-09
"Developing Effective Methods for Electronic Health Personalization: Protocol for Health Telescope, a Prospective Interventional Study",JMIR Research Protocols,2020-07-31
Lehren und Chancen für Anleger,Uro-News,2020-11-13
Commentary: Preferred practice pattern for primary eye care in the context of COVID-19 in L V Prasad Eye Institute network in India,Indian Journal of Ophthalmology,2020-07-01
Setting Goals or Shifting Goalposts: Role of Frailty for Critical Care Decisions During COVID-19,The Journal of Frailty & Aging,2020-09-02
Remdesivir in patients with estimated glomerular filtration rate < 30mL/min/1.73m or on renal replacement therapy,Kidney International Reports,2020-11-27
COVID-19 and Pulmonology in the XXI century: Challenge or Opportunity?,Archivos De Bronconeumologia,2020-05-28
Survey of Intravitreal Injection Techniques Among Retina Specialists in Mexico,"Clinical Ophthalmology (Auckland, N.Z.)",2020-11-26
COVID-Well: Evaluation of the Implementation of Supported Wellbeing Centres for Hospital Employees during the COVID-19 Pandemic,International Journal of Environmental Research and Public Health,2020-12-15
COVID-19 in the radiology department: What radiographers need to know,"Radiography (London, England : 1995)",2020-06-04
Response and Suggestions for: Factors Associated with Burnout Among Physicians: an Evaluation During a Period of COVID-19 Pandemic [Letter],Journal of Healthcare Leadership,2020-11-11
Critically Ill Patients with COVID-19: A Narrative Review on Prone Position,Pulmonary Therapy,2020-10-21
Medical Students in the Time of COVID‐19: Opportunities and Challenges,AEM Education and Training,2020-06-13
"Current Resources for Evidence-Based Practice, November 2020","Journal of Obstetric, Gynecologic, and Neonatal Nursing",2020-10-21
Cancer or COVID-19? A Review of Guidelines for Safe Cancer Care in the Wake of the Pandemic,Sn Comprehensive Clinical Medicine,2020-11-21
COVID-19 response in the Middle East and north Africa: challenges and paths forward,The Lancet. Global Health,2020-05-14
Quercetin and Its Metabolites Inhibit RecombinantHuman Angiotensin-Converting Enzyme 2 (ACE2) Activity,Journal of Agricultural and Food Chemistry,2020-11-12
Incidence of Health Care–Associated COVID-19 During Universal Testing of Medical and Surgical Admissions in a Large US Health System,Open Forum Infectious Diseases,2020-09-14
Mandated societal lockdown and road traffic accidents,Accident; Analysis and Prevention,2020-09-07
"Quality assessment of clinical practice guidelines for the management of paediatric dental emergencies applicable to the COVID-19 pandemic, using the AGREE II instrument. A systematic review",Heliyon,2020-12-09
A Tempo-geographic Analysis of Global COVID-19 Epidemic Outside of China,medRxiv,2020-04-16
Exploring uncertainty and risk in the accelerated response to a COVID-19 vaccine: Perspective from the pharmaceutical industry,Vaccine,2020-10-13
Analysis of Glucose Levels in Patients Hospitalized With COVID-19 During the First Phase of This Pandemic in West Texas,Journal of Primary Care & Community Health,2020-09-13
N-95 masks: how much do we know?,The Egyptian Journal of Internal Medicine,2020-08-31
Caught in the crossfire:  cancer surgery in the midst of ‐19,The British Journal of Surgery,2020-06-22
Antimicrobial peptides – Advances in development of therapeutic applications,Life Sciences,2020-09-12
European Coronationalism? A Hot Spot Governing a Pandemic Crisis,Public Administration Review,2020-05-22
Liver injury in COVID-19: management and challenges,The Lancet. Gastroenterology & Hepatology,2020-03-04
Trends in Clinical Information Systems Research in 2019: An Overview of the Clinical Information Systems Section of the International Medical Informatics Association Yearbook,Yearbook of Medical Informatics,2020-08-21
The challenges of COVID-19 for community pharmacists and opportunities for the future,Irish Journal of Psychological Medicine,2020-05-21
"Two small, cysteine-rich and cationic antifungal proteins from : A comparative study of PAF and PAFB",Biochimica et Biophysica Acta. Biomembranes,2020-03-03
The fight against COVID-19: a report from the Italian trenches,International Psychogeriatrics,2020-04-20
Restricted Arm Swing in People With Parkinson's Disease Decreases Step Length and Time on Destabilizing Surfaces,Frontiers in Neurology,2020-09-25
Analysis of Characteristics in Death Patients with COVID-19 Pneumonia without Underlying Diseases,Academic Radiology,2020-04-07
Potential Therapeutic Targeting of Coronavirus Spike Glycoprotein Priming,Molecules,2020-05-22
COVID-19 international neurological registries,The Lancet. Neurology,2020-05-26
"Air, Air Everywhere!",Clinical Case Reports,2020-08-20
"COVID-19 and community pharmacy services in Pakistan: challenges, barriers and solution for progress",Journal of Pharmaceutical Policy and Practice,2020-06-15
Markers of myocardial injury in the prediction of short-term COVID-19 prognosis,Revista Espanola De Cardiologia (English Ed.),2020-09-29
The Role of the Patient-Centered Medical Home in Treating Depression,Current Psychiatry Reports,2020-07-14
The strategies for the coronavirus disease 2019 (COVID-19) in Taiwan: A different tale,The Journal of Infection,2020-08-10
Imaging in COVID-19-related myocardial injury,The International Journal of Cardiovascular Imaging,2020-11-19
Using latent class analysis to identify the complex needs of youth on probation,Children and Youth Services Review,2020-05-19
Is there relationship between SARS-CoV-2 and the complement C3 and C4?,Turkish Journal of Medical Sciences,2020-06-23
Environmental and psychological variables influencing reactions to the COVID‐19 outbreak,British Journal of Health Psychology,2020-09-19
Convalescent plasma from COVID 19 patients enhances intensive care unit survival rate. A preliminary report,Transfusion and Apheresis Science,2020-06-10
Correction to: A survival analysis of COVID-19 in the Mexican population,BMC Public Health,2020-11-30
Elevated ACE-2 expression in the olfactory neuroepithelium: implications for anosmia and upper respiratory SARS-CoV-2 entry and replication,The European Respiratory Journal,2020-09-24
Warum der rehabilitativen Versorgung auch und gerade währendder COVID-19 Pandemie besondere Beachtung geschenkt werden muss: Ein Statementder Deutschen Gesellschaft für Physikalische und Rehabilitative Medizin(DGPRM),"Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin",2020-07-15
Comparison of Mobile Health Technology Use for Self-Tracking Between Older Adults and the General Adult Population in Canada: Cross-Sectional Survey,JMIR mHealth and uHealth,2020-11-27
CoViD-19 Immunopathology and Immunotherapy,Bioinformation,2020-03-31
EP14 COVID-19 associated aortitis,Rheumatology Advances in Practice,2020-11-03
Double Jeopardy: Methamphetamine Use and HIV as Risk Factors for COVID-19,AIDS and Behavior,2020-04-07
Exploring COVID-19 Therapies: An Extraordinary Global Challenge,Journal of Digestive Endoscopy,2020-05-16
"Instagram as a Window to Societal Perspective on Mental Health, Gender, and Race: Observational Pilot Study",JMIR Mental Health,2020-10-27
Retinal findings in COVID-19 patients with diabetes mellitus,Diabetes Research and Clinical Practice,2020-08-29
Lead compounds for the development of SARS-CoV-2 3CL protease inhibitors,bioRxiv,2020-08-04
Keeping pace: An ED communications strategy for COVID-19,The American Journal of Emergency Medicine,2020-04-14
Science over stigma: the need for evidence-based blood donation policies for men who have sex with men in the USA,The Lancet. Haematology,2020-10-19
A Strategy to Prevent and Control Zoonoses?,The Hastings Center Report,2020-06-29
Taking a lesson from the COVID-19 pandemic: Preventing the future outbreaks of viral zoonoses through a multi-faceted approach,The Science of the Total Environment,2020-11-14
"A New Normal?: The COVID‐19 pandemic has heralded different ways of working, triage of workload, collaborative research and cold‐site surgery.",Bju International,2020-08-09
Drought Influences on Food Insecurity in Africa: A Systematic Literature Review,International Journal of Environmental Research and Public Health,2020-08-14
Extended use or reuse of N95 respirators during COVID-19 pandemic: An overview of national regulatory authority recommendations,Infection Control and Hospital Epidemiology,2020-04-22
Letter to the Editor: “COVID-19 Pandemic in Developing Countries: Effects on Urgent Neurosurgical Consultation and Patients' Care: Experience from North Africa”,World Neurosurgery,2020-08-24
Patient-Centered Surgical Care Meets the Social Determinants of Health,World Journal of Surgery,2020-09-25
Consensus statement on coronary intervention during the coronavirus disease 19 pandemic: from the Korean Society of Interventional Cardiology,The Korean Journal of Internal Medicine,2020-07-01
Considerations for STI Clinics During the COVID-19 Pandemic,Sexually Transmitted Diseases,2020-05-05
Trade credit research before and after the global financial crisis of 2008 – A bibliometric overview,Research in International Business and Finance,2020-06-30
How should I manage immunosuppression in a kidney transplant patient with COVID-19? An ERA-EDTA DESCARTES expert opinion,Nephrology Dialysis Transplantation,2020-05-22
Coronavirus: Schutzkleidung wird zentral bestellt und bezahlt: Infektionsschutz,Mmw Fortschritte Der Medizin,2020-03-30
Age Differences in Risk and Resilience Factors in COVID-19-Related Stress,The Journals of Gerontology Series B: Psychological Sciences and Social Sciences,2020-08-03
The dysregulated innate immune response in severe COVID-19 pneumonia that could drive poorer outcome,Journal of Translational Medicine,2020-12-03
COVID-19 provides an opportunity to advance a sustainable UK fisheries policy in a post-Brexit brave new world,Marine Policy,2020-07-10
Allium fistulosum congee as a home remedy to ward off the corona virus at an early stage,Integrative Medicine Research,2020-06-30
"Perceived Leadership Styles, Outcomes of Leadership, and Self-Efficacy Among Nurse Leaders:: A Hospital-Based Survey to Inform Leadership Development at a US Regional Medical Center",Nurse Leader,2020-10-01
A twin challenge to handle: COVID‐19 with pregnancy,Journal of Medical Virology,2020-04-05
Associations Between Primary Care Provider Shortage Areas and County-Level COVID-19 Infection and Mortality Rates in the USA,Journal of General Internal Medicine,2020-08-21
Susceptible supply limits the role of climate in the early SARS-CoV-2 pandemic,"Science (New York, N.y.)",2020-05-18
"Early, low-dose, short-term methylprednisolone decreased the mortality in critical COVID-19 patients: A multicenter retrospective cohort study",The Journal of Infection,2020-11-08
"Novel coronavirus 2019, an emerging public health emergency",Transboundary and Emerging Diseases,2020-02-19
Blockchain as an Approach for Secure Data Storage on Digital Consulting Platforms,Digital Entrepreneurship,2020-06-25
"Fighting ‐19 with Agility, Transparency, and Participation: Wicked Policy Problems and New Governance Challenges",Public Administration Review,2020-05-20
Efficient chromatin accessibility mapping in situ by nucleosome-tethered tagmentation,eLife,2020-11-16
Measuring progress towards healthy working lives,The Lancet. Public Health,2020-06-30
Update on COVID-19 From the Journal,Circulation. Cardiovascular Imaging,2020-04-23
Coronavirus Disease 2019 (COVID-19) in Neonates and Children From China: A Review,Frontiers in Pediatrics,2020-05-15
Comparison of Clinical Features of COVID-19 vs Seasonal Influenza A and B in US Children,JAMA Network Open,2020-09-08
Twitter reveals human mobility dynamics during the COVID-19 pandemic,PLoS ONE,2020-11-10
COVID-19 and a novel initiative to improve safety by 3D printing personal protective equipment parts from computed tomography,3D Printing in Medicine,2020-08-12
"SARS-CoV-2 meta-interactome suggests disease-specific, autoimmune pathophysiologies and therapeutic targets",F1000Research,2020-08-17
Cooperation in times of COVID-19: realizing the right to health in developing countries,Zeitschrift für Friedens- und Konfliktforschung,2020-11-13
"Prevention, susceptibility, and clinical features of coronavirus disease 2019 in postoperative patients",Asian Journal of Surgery,2020-10-16
